# x_mm  y_mm  z_mm  dk_x_radmm  dk_y_radmm  dk_z_radmm  dp_x_rad  dp_y_rad  dp_z_rad
-0.5000 -0.5000 -0.5000 0.0357945 -0.039975 0.0286686 -3.02075 2.87142 -3.0388
-0.5000 -0.5000 99.5000 -0.07542 -0.0621529 0.0193686 1.62159 1.30339 -0.456024
-0.5000 -0.5000 199.5000 0.016 0.0320398 -0.048 -0.725967 3.14159 -3.14159
-0.5000 -0.5000 299.5000 -0.08 -0.08 -0.016 0.673882 -1.8819 -2.42725
-0.5000 -0.5000 399.5000 0.0628148 -0.0574427 -0.08 -3.14159 0.434635 -3.14159
-0.5000 99.5000 -0.5000 -0.0304127 0.08 -0.0447043 -3.14159 -0.232802 -2.4463
-0.5000 99.5000 99.5000 0.048 -0.0325855 -0.08 -1.90002 0.434635 -3.14159
-0.5000 99.5000 199.5000 -0.08 -0.0335441 -0.08 -1.90002 1.74664 -3.14159
-0.5000 99.5000 299.5000 0.0219079 0.0664938 0.08 -1.88495 0.434635 -1.12287
-0.5000 99.5000 399.5000 0.048 0.0601677 6.9849e-05 -1.88495 0.434635 -1.12287
-0.5000 199.5000 -0.5000 0.0130802 -0.0117215 -0.0469536 -1.08048 -2.67427 -2.84063
-0.5000 199.5000 99.5000 -0.016 -0.0570955 0.0600729 1.80558 -0.566926 -3.14159
-0.5000 199.5000 199.5000 -0.0718851 -0.0659047 -0.08 -3.14159 -2.44521 -3.14159
-0.5000 199.5000 299.5000 -0.0781781 -0.0662449 -0.0386536 -3.14159 -2.23592 -1.32356
-0.5000 199.5000 399.5000 0.00494526 -0.04512 -0.08 -3.14159 -1.13286 -3.14159
-0.5000 299.5000 -0.5000 -0.00768547 0.0220876 0.0160359 -3.14159 -1.68157 -3.14159
-0.5000 299.5000 99.5000 -0.034396 -0.08 -0.08 0.0148506 -0.685592 -3.14159
-0.5000 299.5000 199.5000 -0.08 -0.08 -0.08 -2.65668 3.14159 -1.24242
-0.5000 299.5000 299.5000 0.0172161 0.0602569 0.0425894 1.04653 1.11206 -1.27122
-0.5000 299.5000 399.5000 -0.0295834 -0.0748189 0.08 1.04653 1.12599 -1.27122
99.5000 -0.5000 -0.5000 0.08 -0.08 0.08 -3.14159 -3.14159 -1.12287
99.5000 -0.5000 99.5000 0.0573961 0.08 -0.0755025 -3.14159 -2.64792 -1.96139
99.5000 -0.5000 199.5000 -0.08 -0.08 -0.08 -2.08899 -3.14159 -3.14159
99.5000 -0.5000 299.5000 0.0500717 -0.0685426 -0.08 0.000398078 -2.44026 -3.14159
99.5000 -0.5000 399.5000 -0.0543239 -0.08 -0.08 2.28054 0.881771 1.21674
99.5000 99.5000 -0.5000 -0.0722901 -0.08 -0.0676062 2.28054 -1.31934 1.21674
99.5000 99.5000 99.5000 0.0387656 -0.00919645 -0.08 -0.375203 1.1488 0.201433
99.5000 99.5000 199.5000 0.0136236 0.0261195 -0.08 -0.375203 1.1488 0.192521
99.5000 99.5000 299.5000 -0.00909769 0.0110679 -0.012623 0.448879 3.14159 -1.25664
99.5000 99.5000 399.5000 0.016 0.0110679 -0.0275932 1.40206 3.14159 -0.288221
99.5000 199.5000 -0.5000 -0.0280948 0.08 0.0621529 -1.8372 1.30426 -1.12287
99.5000 199.5000 99.5000 0.0693725 0.08 -0.0336215 -0.628318 2.80285 -0.693603
99.5000 199.5000 199.5000 -0.0533249 -0.08 -0.0781113 -0.721851 -2.3056 1.98573
99.5000 199.5000 299.5000 -0.0724722 -0.08 -0.0767062 -1.02234 -2.3056 0.840792
99.5000 199.5000 399.5000 -0.0329235 -0.00813404 -0.0333376 2.69255 2.3056 -1.13293
99.5000 299.5000 -0.5000 -0.023398 0.08 -0.0496168 2.50011 2.3056 -1.13293
99.5000 299.5000 99.5000 -0.0734958 -0.0498965 -0.0357182 -0.147893 0.434635 -0.104781
99.5000 299.5000 199.5000 -0.016 -0.0249106 -0.0294247 -0.147893 0.434635 -2.85541
99.5000 299.5000 299.5000 -0.048 0.014595 -0.0653682 0.371434 -1.3701 0.359514
99.5000 299.5000 399.5000 -0.00623889 -0.0235306 0.0105747 -0.679844 -1.3701 0.359514
199.5000 -0.5000 -0.5000 -0.08 -0.08 0.0468094 -0.526276 -0.286233 1.34974
199.5000 -0.5000 99.5000 -0.08 -0.0674814 0.00902896 1.67586 -0.456436 1.89457
199.5000 -0.5000 199.5000 -0.0791115 -0.0628819 -0.08 0.985896 -2.35227 -2.40366
199.5000 -0.5000 299.5000 -0.0650732 -0.08 0.016 0.628318 -3.14159 -2.78008
199.5000 -0.5000 399.5000 0.0338695 -0.0167344 -0.08 -1.52644 0.693029 0.624864
199.5000 99.5000 -0.5000 0.0640507 0.016 -0.0590894 2.89327 -3.14159 -0.0912218
199.5000 99.5000 99.5000 -0.0119836 0.0185034 -0.08 -1.45215 -3.14159 2.63831
199.5000 99.5000 199.5000 -0.0572273 -0.00966456 -0.08 3.14159 -3.14159 2.63831
199.5000 99.5000 299.5000 0.0152407 -0.0663636 0.08 -0.00249322 -3.14159 2.57289
199.5000 99.5000 399.5000 -0.00649148 -0.0502619 0.08 -1.7732 0.628318 -0.830386
199.5000 199.5000 -0.5000 -0.08 -0.08 -0.0119704 -0.0986345 -2.55755 -3.14159
199.5000 199.5000 99.5000 -0.0736766 -0.08 -0.0461541 -1.56994 -2.36804 -1.23152
199.5000 199.5000 199.5000 -0.0695436 -0.08 -0.08 -3.14159 -2.55625 -1.70503
199.5000 199.5000 299.5000 -0.08 -0.08 -0.08 -3.14159 -3.14159 -3.14159
199.5000 199.5000 399.5000 -0.0290084 -0.0697538 -0.08 -1.97244 -2.3056 1.27901
199.5000 299.5000 -0.5000 -0.048 -0.0590894 -0.08 -2.0852 -2.73196 1.27901
199.5000 299.5000 99.5000 -0.048 -0.0110679 -0.08 -0.745555 1.11206 1.4806
199.5000 299.5000 199.5000 -0.08 -0.08 -0.0529205 -0.745555 1.11206 1.4806
199.5000 299.5000 299.5000 0.00158243 -0.0476587 -0.0412434 1.88495 -1.25431 2.40894
199.5000 299.5000 399.5000 -0.046595 -0.0307645 -0.0499226 -1.45303 -1.25431 3.14159
299.5000 -0.5000 -0.5000 -0.08 -0.08 -0.08 1.88456 0.881771 -1.12287
299.5000 -0.5000 99.5000 0.0667718 -0.08 -0.08 0.628318 2.5564 -1.4806
299.5000 -0.5000 199.5000 -0.0663521 -0.08 -0.08 -1.10328 -2.59017 -1.07067
299.5000 -0.5000 299.5000 -0.08 -0.08 -0.08 -0.598499 -2.80285 -1.67248
299.5000 -0.5000 399.5000 -0.0499008 -0.048 -0.08 2.19203 2.65767 1.23225
299.5000 99.5000 -0.5000 -0.0547065 -0.048 -0.08 2.19203 2.65767 1.23225
299.5000 99.5000 99.5000 -0.016 0.0045426 0.0559213 -1.88495 1.53056 -3.14159
299.5000 99.5000 199.5000 -0.016 0.0045426 0.040429 -1.88495 1.53056 -3.14159
299.5000 99.5000 299.5000 0.0350551 0.0150815 0.0737386 0.44708 1.56224 2.31654
299.5000 99.5000 399.5000 0.08 0.0142945 0.046595 0.44708 1.56224 2.31654
299.5000 199.5000 -0.5000 -0.08 -0.08 -0.08 1.88495 0.506395 1.30787
299.5000 199.5000 99.5000 -0.08 -0.08 0.0676062 1.90002 -1.1488 1.46793
299.5000 199.5000 199.5000 -0.0479899 -0.0587118 -0.08 -2.01117 -0.881771 1.12287
299.5000 199.5000 299.5000 -0.08 -0.08 -0.08 -0.598499 -2.3056 1.12287
299.5000 199.5000 399.5000 -0.0280948 -0.0653626 0.0544704 -0.806941 1.94013 -0.174169
299.5000 299.5000 -0.5000 -0.0280948 -0.0653626 0.0273799 -2.55755 1.94013 -0.31469
299.5000 299.5000 99.5000 0.00909769 0.0128952 0.0559846 -1.90002 1.63717 -0.950137
299.5000 299.5000 199.5000 0.00909769 -0.029254 0.0559846 -1.90002 1.63717 -0.950137
299.5000 299.5000 299.5000 0.00376606 -0.0110679 0.00266824 0.357265 -0.434635 2.85541
299.5000 299.5000 399.5000 -0.0185428 -0.0110679 0.0502789 1.88495 -0.434635 2.85541
