# x_mm  y_mm  z_mm  dk_x_radmm  dk_y_radmm  dk_z_radmm  dp_x_rad  dp_y_rad  dp_z_rad
-0.5000 -0.5000 -0.5000 0.08 0.08 -0.0387827 -3.14159 2.67958 -3.14159
-0.5000 -0.5000 99.5000 0.08 0.08 0.08 -3.14159 -2.51236 -1.83022
-0.5000 -0.5000 199.5000 0.048 0.0314457 -0.08 -3.14159 3.14159 -3.14159
-0.5000 -0.5000 299.5000 -0.016 -0.08 -0.048 -3.14159 2.06644 2.37241
-0.5000 -0.5000 399.5000 -0.0653761 0.0431192 0.08 -3.14159 1.54907 -3.14159
-0.5000 99.5000 -0.5000 -0.08 -0.0613547 -0.08 -3.14159 -2.97274 -3.14159
-0.5000 99.5000 99.5000 0.08 -0.08 -0.0378442 -3.14159 -3.14159 -3.14159
-0.5000 99.5000 199.5000 -0.0563591 -0.08 -0.027357 -3.14159 -3.14159 -3.14159
-0.5000 99.5000 299.5000 -0.08 -0.08 0.08 3.14159 3.14159 3.14159
-0.5000 99.5000 399.5000 -0.08 0.0604879 0.0760203 3.14159 3.14159 3.14159
-0.5000 199.5000 -0.5000 -0.08 0.0755041 0.0686247 -3.14159 -3.14159 -3.14159
-0.5000 199.5000 99.5000 -0.08 0.08 -0.0698549 -3.14159 -3.14159 -3.14159
-0.5000 199.5000 199.5000 -0.0463632 -0.00588983 0.048 -3.14159 -2.6917 -3.14159
-0.5000 199.5000 299.5000 -0.08 -0.0612551 0.0734785 0.571192 -3.0873 -3.14159
-0.5000 199.5000 399.5000 0.048 -0.08 -0.08 -3.14159 -3.04387 -3.14159
-0.5000 299.5000 -0.5000 -0.016 -0.0682923 -0.08 -3.14159 -3.05914 -3.14159
-0.5000 299.5000 99.5000 0.08 -0.0782363 -0.08 -3.14159 -3.14159 -3.14159
-0.5000 299.5000 199.5000 -0.0476099 -0.0785705 -0.08 -3.14159 -3.14159 -3.14159
-0.5000 299.5000 299.5000 -0.0670581 0.08 0.08 3.14159 3.14159 3.14159
-0.5000 299.5000 399.5000 0.08 0.08 0.08 3.14159 3.14159 3.14159
99.5000 -0.5000 -0.5000 -0.074668 -0.08 -0.08 -3.14159 -3.14159 -3.14159
99.5000 -0.5000 99.5000 -0.08 -0.08 -0.0754913 -3.14159 -3.14159 -3.14159
99.5000 -0.5000 199.5000 -0.0690794 -0.0738785 -0.08 0.536554 -3.09635 -3.14159
99.5000 -0.5000 299.5000 -0.08 -0.0786842 -0.08 -3.14159 -3.10613 -3.14159
99.5000 -0.5000 399.5000 -0.08 -0.08 -0.08 -0.403398 -3.14159 -3.14159
99.5000 99.5000 -0.5000 -0.08 -0.08 -0.08 -2.93881 -3.14159 -3.14159
99.5000 99.5000 99.5000 -0.08 -0.08 -0.08 -2.12498 -3.14159 -2.13073
99.5000 99.5000 199.5000 -0.08 -0.08 -0.08 -2.63522 -3.14159 -2.95694
99.5000 99.5000 299.5000 -0.0604383 0.08 0.08 3.02849 3.14159 3.14159
99.5000 99.5000 399.5000 0.0559932 0.08 0.08 3.0398 3.14159 3.14159
99.5000 199.5000 -0.5000 0.0765223 0.08 0.08 -3.14159 1.50872 2.62541
99.5000 199.5000 99.5000 -0.08 0.08 -0.08 -3.14159 3.14159 -1.72518
99.5000 199.5000 199.5000 -0.0336517 -0.0703002 0.0777658 -3.14159 -3.14159 -3.14159
99.5000 199.5000 299.5000 0.08 0.0727219 -0.0291296 -3.14159 -3.14159 -3.14159
99.5000 199.5000 399.5000 0.0754553 -0.0514211 -0.07856 -1.20104 -3.14159 -3.14159
99.5000 299.5000 -0.5000 -0.08 0.0494743 -0.0585154 -0.812928 -3.14159 -3.14159
99.5000 299.5000 99.5000 0.0475443 0.0781287 -0.0045453 -2.27497 -2.02747 -1.77402
99.5000 299.5000 199.5000 0.0337635 0.0786696 0.0785063 -2.40195 -1.45794 -2.92708
99.5000 299.5000 299.5000 -0.08 0.08 0.0735033 2.82027 3.14159 1.39221
99.5000 299.5000 399.5000 0.08 0.08 0.0779451 1.67146 2.01184 0.63685
199.5000 -0.5000 -0.5000 0.08 0.08 0.00895401 3.14159 -3.03594 3.14159
199.5000 -0.5000 99.5000 0.08 -0.0738931 -0.0787301 3.14159 -3.14159 2.03294
199.5000 -0.5000 199.5000 0.048 -0.048 0.0505722 -0.285869 -3.14159 -3.14159
199.5000 -0.5000 299.5000 0.048 -0.08 0.048 3.10026 -2.16995 -2.72143
199.5000 -0.5000 399.5000 -0.08 0.08 0.016 -3.04703 -3.14159 -3.14159
