# x_mm  y_mm  z_mm  dk_x_radmm  dk_y_radmm  dk_z_radmm  dp_x_rad  dp_y_rad  dp_z_rad
-0.5000 -0.5000 -0.5000 0 0 0 0 0 0
-0.5000 -0.5000 99.5000 0 0 0 0 0 0
-0.5000 -0.5000 199.5000 0 0 0 0 0 0
-0.5000 -0.5000 299.5000 0 0 0 0 0 0
-0.5000 -0.5000 399.5000 0 0 0 0 0 0
-0.5000 99.5000 -0.5000 0 0 0 0 0 0
-0.5000 99.5000 99.5000 0 0 0 0 0 0
-0.5000 99.5000 199.5000 0 0 0 0 0 0
-0.5000 99.5000 299.5000 0 0 0 0 0 0
-0.5000 99.5000 399.5000 0 0 0 0 0 0
-0.5000 199.5000 -0.5000 0 0 0 0 0 0
-0.5000 199.5000 99.5000 0 0 0 0 0 0
-0.5000 199.5000 199.5000 0 0 0 0 0 0
-0.5000 199.5000 299.5000 0 0 0 0 0 0
-0.5000 199.5000 399.5000 0 0 0 0 0 0
-0.5000 299.5000 -0.5000 0 0 0 0 0 0
-0.5000 299.5000 99.5000 0 0 0 0 0 0
-0.5000 299.5000 199.5000 0 0 0 0 0 0
-0.5000 299.5000 299.5000 0 0 0 0 0 0
-0.5000 299.5000 399.5000 0 0 0 0 0 0
99.5000 -0.5000 -0.5000 0 0 0 0 0 0
99.5000 -0.5000 99.5000 0 0 0 0 0 0
99.5000 -0.5000 199.5000 0 0 0 0 0 0
99.5000 -0.5000 299.5000 0 0 0 0 0 0
99.5000 -0.5000 399.5000 0 0 0 0 0 0
99.5000 99.5000 -0.5000 0 0 0 0 0 0
99.5000 99.5000 99.5000 0 0 0 0 0 0
99.5000 99.5000 199.5000 0 0 0 0 0 0
99.5000 99.5000 299.5000 0 0 0 0 0 0
99.5000 99.5000 399.5000 0 0 0 0 0 0
99.5000 199.5000 -0.5000 0 0 0 0 0 0
99.5000 199.5000 99.5000 0 0 0 0 0 0
99.5000 199.5000 199.5000 0 0 0 0 0 0
99.5000 199.5000 299.5000 0 0 0 0 0 0
99.5000 199.5000 399.5000 0 0 0 0 0 0
99.5000 299.5000 -0.5000 0 0 0 0 0 0
99.5000 299.5000 99.5000 0 0 0 0 0 0
99.5000 299.5000 199.5000 0 0 0 0 0 0
99.5000 299.5000 299.5000 0 0 0 0 0 0
99.5000 299.5000 399.5000 0 0 0 0 0 0
199.5000 -0.5000 -0.5000 0 0 0 0 0 0
199.5000 -0.5000 99.5000 0 0 0 0 0 0
199.5000 -0.5000 199.5000 0 0 0 0 0 0
199.5000 -0.5000 299.5000 0 0 0 0 0 0
199.5000 -0.5000 399.5000 0 0 0 0 0 0
199.5000 99.5000 -0.5000 0 0 0 0 0 0
199.5000 99.5000 99.5000 0 0 0 0 0 0
199.5000 99.5000 199.5000 0 0 0 0 0 0
199.5000 99.5000 299.5000 0 0 0 0 0 0
199.5000 99.5000 399.5000 0 0 0 0 0 0
199.5000 199.5000 -0.5000 0 0 0 0 0 0
199.5000 199.5000 99.5000 0 0 0 0 0 0
199.5000 199.5000 199.5000 0 0 0 0 0 0
199.5000 199.5000 299.5000 0 0 0 0 0 0
199.5000 199.5000 399.5000 0 0 0 0 0 0
199.5000 299.5000 -0.5000 0 0 0 0 0 0
199.5000 299.5000 99.5000 0 0 0 0 0 0
199.5000 299.5000 199.5000 0 0 0 0 0 0
199.5000 299.5000 299.5000 0 0 0 0 0 0
199.5000 299.5000 399.5000 0 0 0 0 0 0
299.5000 -0.5000 -0.5000 0 0 0 0 0 0
299.5000 -0.5000 99.5000 0 0 0 0 0 0
299.5000 -0.5000 199.5000 0 0 0 0 0 0
299.5000 -0.5000 299.5000 0 0 0 0 0 0
299.5000 -0.5000 399.5000 0 0 0 0 0 0
299.5000 99.5000 -0.5000 0 0 0 0 0 0
299.5000 99.5000 99.5000 0 0 0 0 0 0
299.5000 99.5000 199.5000 0 0 0 0 0 0
299.5000 99.5000 299.5000 0 0 0 0 0 0
299.5000 99.5000 399.5000 0 0 0 0 0 0
299.5000 199.5000 -0.5000 0 0 0 0 0 0
299.5000 199.5000 99.5000 0 0 0 0 0 0
299.5000 199.5000 199.5000 0 0 0 0 0 0
299.5000 199.5000 299.5000 0 0 0 0 0 0
299.5000 199.5000 399.5000 0 0 0 0 0 0
299.5000 299.5000 -0.5000 0 0 0 0 0 0
299.5000 299.5000 99.5000 0 0 0 0 0 0
299.5000 299.5000 199.5000 0 0 0 0 0 0
299.5000 299.5000 299.5000 0 0 0 0 0 0
299.5000 299.5000 399.5000 0 0 0 0 0 0
