# x_mm  y_mm  z_mm  dk_x_radmm  dk_y_radmm  dk_z_radmm
-0.5000 -0.5000 -0.5000 1.90228 1.28843 -0.411936
-0.5000 -0.5000 1.5000 -0.886039 -0.523771 -1.6293
-0.5000 -0.5000 3.5000 3.75636 3.16923 -2.76899
-0.5000 -0.5000 5.5000 2.89959 -1.55203 -3.27101
-0.5000 -0.5000 7.5000 3.44864 -0.868614 -4
-0.5000 -0.5000 9.5000 2.50136 -1.67369 -1.60349
-0.5000 -0.5000 11.5000 -0.869404 1.26458 3.61128
-0.5000 1.5000 -0.5000 -3.92731 -4 -4
-0.5000 1.5000 1.5000 -3.68781 -3.81277 -3.78437
-0.5000 1.5000 3.5000 -3.928 -3.3843 -3.928
-0.5000 1.5000 5.5000 -3.6938 -4 -4
-0.5000 1.5000 7.5000 -1.29809 -4 -3.93088
-0.5000 1.5000 9.5000 2.43109 -4 -2.71071
-0.5000 1.5000 11.5000 1.71566 -3.9856 -3.53044
-0.5000 3.5000 -0.5000 3.9689 4 2.08651
-0.5000 3.5000 1.5000 -1.26463 0.555275 3.9424
-0.5000 3.5000 3.5000 3.04074 3.75094 -1.83642
-0.5000 3.5000 5.5000 -0.7794 -4 1.03149
-0.5000 3.5000 7.5000 3.24897 -2.75467 -1.54813
-0.5000 3.5000 9.5000 3.44798 -3.9424 0.204801
-0.5000 3.5000 11.5000 3.9136 3.06139 3.5819
1.5000 -0.5000 -0.5000 -0.78192 -1.68672 -0.851891
1.5000 -0.5000 1.5000 -4 -2.29446 -3.26564
1.5000 -0.5000 3.5000 1.34604 -1.72036 -3.928
1.5000 -0.5000 5.5000 0.237724 -1.97641 -3.25599
1.5000 -0.5000 7.5000 0.919037 -2.8347 -0.2871
1.5000 -0.5000 9.5000 -2.06602 -3.79706 -3.43274
1.5000 -0.5000 11.5000 3.8128 0.345185 3.893
1.5000 1.5000 -0.5000 -4 -3.9424 -0.160169
1.5000 1.5000 1.5000 -4 -4 -3.9689
1.5000 1.5000 3.5000 -3.928 -2.3323 -4
1.5000 1.5000 5.5000 -3.83884 -4 -4
1.5000 1.5000 7.5000 -3.34974 -3.8583 -3.928
1.5000 1.5000 9.5000 -3.856 -3.62771 -3.9136
1.5000 1.5000 11.5000 -3.5915 -1.60399 -3.46774
1.5000 3.5000 -0.5000 2.46115 -0.336018 3.57715
1.5000 3.5000 1.5000 -3.22056 -3.54611 3.16236
1.5000 3.5000 3.5000 -0.657846 -1.26725 -1.04162
1.5000 3.5000 5.5000 -2.74858 -3.8583 0.00782425
1.5000 3.5000 7.5000 0.399909 -3.33598 0.028253
1.5000 3.5000 9.5000 -3.49911 -3.22518 -3.73596
1.5000 3.5000 11.5000 -0.410428 0.492926 3.60498
3.5000 -0.5000 -0.5000 -3.76084 1.01616 -4
3.5000 -0.5000 1.5000 -3.53716 2.13679 -3.71592
3.5000 -0.5000 3.5000 -2.34863 1.66311 -4
3.5000 -0.5000 5.5000 -3.78964 -3.65186 -4
3.5000 -0.5000 7.5000 -3.60376 -2.0036 -3.89518
3.5000 -0.5000 9.5000 -3.1286 3.78087 -3.63234
3.5000 -0.5000 11.5000 -2.52468 3.17411 -0.794722
3.5000 1.5000 -0.5000 -4 -3.03454 -4
3.5000 1.5000 1.5000 -3.8704 -2.30461 -4
3.5000 1.5000 3.5000 -4 -0.0186613 -4
3.5000 1.5000 5.5000 -3.74416 -3.63528 -3.85876
3.5000 1.5000 7.5000 -4 -3.9424 -4
3.5000 1.5000 9.5000 -4 -2.34778 -3.87489
3.5000 1.5000 11.5000 -1.87784 2.88733 -0.923809
3.5000 3.5000 -0.5000 0.746394 1.01555 -2.7833
3.5000 3.5000 1.5000 -3.9136 -3.47801 -2.11891
3.5000 3.5000 3.5000 -3.928 -1.22316 -4
3.5000 3.5000 5.5000 -3.9136 -2.59419 -3.928
3.5000 3.5000 7.5000 -3.61449 -3.23099 -3.55651
3.5000 3.5000 9.5000 -0.560582 -2.78711 -3.62645
3.5000 3.5000 11.5000 3.04825 3.29497 -2.93341
5.5000 -0.5000 -0.5000 -0.00947659 3.42587 3.79264
5.5000 -0.5000 1.5000 -3.72986 4 1.94308
5.5000 -0.5000 3.5000 -3.66216 2.54594 -0.880129
5.5000 -0.5000 5.5000 -2.22631 -3.63454 -1.82002
5.5000 -0.5000 7.5000 -1.62362 1.98592 -1.06735
5.5000 -0.5000 9.5000 -2.67229 0.0566284 -1.52756
5.5000 -0.5000 11.5000 3.60526 -1.45637 3.39175
5.5000 1.5000 -0.5000 -4 -3.82246 -4
5.5000 1.5000 1.5000 -4 -2.24554 -4
5.5000 1.5000 3.5000 -3.8727 -2.9958 -4
5.5000 1.5000 5.5000 -3.856 -1.95811 -4
5.5000 1.5000 7.5000 -4 -1.44297 -3.75451
5.5000 1.5000 9.5000 -3.77607 0.0898536 -2.76768
5.5000 1.5000 11.5000 1.64972 1.82395 -3.59035
5.5000 3.5000 -0.5000 4 3.57152 3.62145
5.5000 3.5000 1.5000 -2.73236 -4 3.33576
5.5000 3.5000 3.5000 -1.34719 0.226917 3.92731
5.5000 3.5000 5.5000 -1.00829 1.45225 3.8439
5.5000 3.5000 7.5000 -3.33828 -0.524296 1.83583
5.5000 3.5000 9.5000 2.46039 2.07352 -3.13646
5.5000 3.5000 11.5000 3.71682 3.01365 3.781
