# x_mm  y_mm  z_mm  dk_x_radmm  dk_y_radmm  dk_z_radmm
-0.5000 -0.5000 -0.5000 -0.274875 4 2.10646
-0.5000 -0.5000 1.5000 2.88703 4 4
-0.5000 -0.5000 3.5000 -0.768602 -3.43656 -1.66912
-0.5000 -0.5000 5.5000 -0.245942 0.309785 -0.292173
-0.5000 -0.5000 7.5000 -1.08481 -0.116278 -0.418217
-0.5000 -0.5000 9.5000 -2.13404 0.77874 -2.92493
-0.5000 -0.5000 11.5000 -2.53347 0.253448 -2.23705
-0.5000 1.5000 -0.5000 1.93565 4 3.73108
-0.5000 1.5000 1.5000 2.89272 4 0.024485
-0.5000 1.5000 3.5000 -0.564244 -1.64173 -4
-0.5000 1.5000 5.5000 -0.434467 0.583814 -4
-0.5000 1.5000 7.5000 -2.59317 0.347032 -4
-0.5000 1.5000 9.5000 -4 2.3692 -4
-0.5000 1.5000 11.5000 -3.43922 1.5478 -4
-0.5000 3.5000 -0.5000 -0.062127 -4 -1.06885
-0.5000 3.5000 1.5000 -0.163503 -0.688715 0.256074
-0.5000 3.5000 3.5000 0.269108 -0.687651 0.768112
-0.5000 3.5000 5.5000 0.337199 -0.0161319 0.69149
-0.5000 3.5000 7.5000 -0.641525 -0.062764 0.129978
-0.5000 3.5000 9.5000 -3.77218 1.84431 -4
-0.5000 3.5000 11.5000 1.28567 -0.63117 3.9935
1.5000 -0.5000 -0.5000 -4 4 -1.76321
1.5000 -0.5000 1.5000 -1.84197 4 0.9856
1.5000 -0.5000 3.5000 1.16735 -1.73126 0.89389
1.5000 -0.5000 5.5000 0.0334541 0.839238 -0.0250409
1.5000 -0.5000 7.5000 1.47326 -0.542462 1.23707
1.5000 -0.5000 9.5000 4 -1.43832 2.88579
1.5000 -0.5000 11.5000 1.46053 -1.40143 3.90668
1.5000 1.5000 -0.5000 -4 4 0.101099
1.5000 1.5000 1.5000 -1.09082 4 -0.631823
1.5000 1.5000 3.5000 0.667693 -1.77585 -0.876074
1.5000 1.5000 5.5000 0.328417 -0.117599 -3.80364
1.5000 1.5000 7.5000 4 -2.54584 4
1.5000 1.5000 9.5000 4 -4 4
1.5000 1.5000 11.5000 4 -4 4
1.5000 3.5000 -0.5000 1.3223 -1.02971 0.517215
1.5000 3.5000 1.5000 0.528711 0.532427 0.129413
1.5000 3.5000 3.5000 0.568841 -0.562331 0.93791
1.5000 3.5000 5.5000 1.16241 -0.174259 -0.484309
1.5000 3.5000 7.5000 4 -2.41887 4
1.5000 3.5000 9.5000 4 -4 4
1.5000 3.5000 11.5000 4 -4 4
3.5000 -0.5000 -0.5000 1.42541 -4 -1.46004
3.5000 -0.5000 1.5000 0.278524 -1.15811 -0.609926
3.5000 -0.5000 3.5000 -1.56475 -0.379875 -0.277392
3.5000 -0.5000 5.5000 -4 1.50306 -4
3.5000 -0.5000 7.5000 1.73424 -0.212789 2.79851
3.5000 -0.5000 9.5000 4 2.01244 4
3.5000 -0.5000 11.5000 -0.76422 0.384998 4
3.5000 1.5000 -0.5000 0.370727 -1.30111 -0.940134
3.5000 1.5000 1.5000 0.340644 -0.193992 -1.22432
3.5000 1.5000 3.5000 -3.36242 -0.857305 0.533359
3.5000 1.5000 5.5000 -3.40788 1.36261 -4
3.5000 1.5000 7.5000 -4 -0.16436 4
3.5000 1.5000 9.5000 -4 4 -4
3.5000 1.5000 11.5000 -4 4 -4
3.5000 3.5000 -0.5000 -1.1415 -0.109505 -1.31244
3.5000 3.5000 1.5000 -1.42923 0.647631 -1.90795
3.5000 3.5000 3.5000 -2.75293 0.156315 -1.21745
3.5000 3.5000 5.5000 -0.87523 1.55939 -4
3.5000 3.5000 7.5000 -4 0.736057 4
3.5000 3.5000 9.5000 -4 4 -4
3.5000 3.5000 11.5000 -4 4 -4
5.5000 -0.5000 -0.5000 0.241619 -0.678491 -0.754381
5.5000 -0.5000 1.5000 -0.0558316 0.912143 0.264471
5.5000 -0.5000 3.5000 -0.330536 -0.271487 0.68379
5.5000 -0.5000 5.5000 -0.929804 0.791291 -3.13397
5.5000 -0.5000 7.5000 4 -4 4
5.5000 -0.5000 9.5000 4 -4 4
5.5000 -0.5000 11.5000 4 -4 4
5.5000 1.5000 -0.5000 -0.628972 0.714143 -0.310698
5.5000 1.5000 1.5000 -2.35722 1.00552 -1.23556
5.5000 1.5000 3.5000 -4 -0.10133 0.352773
5.5000 1.5000 5.5000 -2.07742 2.21442 -4
5.5000 1.5000 7.5000 -4 -4 4
5.5000 1.5000 9.5000 -4 4 -4
5.5000 1.5000 11.5000 -4 4 -4
5.5000 3.5000 -0.5000 3.00777 -1.07384 3.65554
5.5000 3.5000 1.5000 1.69718 -0.293823 1.80424
5.5000 3.5000 3.5000 2.4336 -1.46958 4
5.5000 3.5000 5.5000 4 -1.13292 3.02955
5.5000 3.5000 7.5000 4 -4 4
5.5000 3.5000 9.5000 -4 4 -4
5.5000 3.5000 11.5000 4 -3.40883 4
