iter       mode         J_meanT      J_obj        J_aug        DissPower     outletT    solid_frac  solid_g    flow_m3s   deltaP_m2s2  wall_thickness        g_meanT    pen_meanT  g_disspower  pen_disspower  mu_penalty        g_oh    pen_oh    mu_oh    grad_norm  delta_x    elapsed_s  alphaMax
   1  pressure        64.016       142.477       142.479       142.477       325.418      0.0966     0.0327     2.5e-07        0.6628          0.0410         334           0           nan              0       1e+04   0.01484   0.001721          1       551.7         nan      74.4     5e+06
   1  pressure        67.242       172.091       172.093       172.091        327.23      0.0956     0.0323     2.5e-07        0.7597          0.0410       337.2           0           nan              0       1e+04   0.01746    0.00216          1       686.2       39.31      74.7     5e+06
   1  pressure         66.88       172.737       172.739       172.737       325.094      0.0968     0.0327     2.5e-07        0.7809          0.0410       336.9           0           nan              0       1e+04   0.01519   0.001766          1        1335       29.56      82.0     5e+06
   1  pressure        65.211       138.764       138.766       138.764       322.799      0.0961     0.0325     2.5e-07        0.6436          0.0410       335.2           0           nan              0       1e+04   0.01485   0.001734          1        1548       7.926      75.4     5e+06
   1  pressure        65.408       155.146       155.148       155.146       320.043      0.0966     0.0327     2.5e-07        0.7409          0.0410       335.4           0           nan              0       1e+04   0.01511   0.001779          1        3857       1.746      77.0     5e+06
   1  pressure        65.181       134.929       134.931       134.929       323.283      0.0961     0.0325     2.5e-07        0.6198          0.0410       335.2           0           nan              0       1e+04    0.0148   0.001732          1       854.5       1.487      75.6     5e+06
   2  pressure        66.406       160.868        160.87       160.868         326.8      0.0966     0.0327     2.5e-07        0.7238          0.0410       336.4           0           nan              0       1e+04   0.01461   0.002046        1.2       772.6       12.36      75.9     5e+06
   2  pressure        66.645       148.411       148.413       148.411       326.826      0.0969     0.0327     2.5e-07        0.6616          0.0410       336.6           0           nan              0       1e+04   0.01456   0.002025        1.2        1689       6.486      77.0     5e+06
   2  pressure        65.368       204.946       204.948       204.946       321.526      0.0969     0.0328     2.5e-07         1.081          0.0410       335.4           0           nan              0       1e+04   0.01505   0.002124        1.2       706.8       5.073      74.1     5e+06
   2  pressure         65.32       133.679       133.681       133.679       323.885      0.0963     0.0326     2.5e-07        0.6167          0.0410       335.3           0           nan              0       1e+04   0.01456   0.002035        1.2       401.2      0.6131      76.7     5e+06
   3  pressure        65.183       132.973       132.976       132.973       323.751      0.0964     0.0326     2.5e-07        0.6102          0.0410       335.2           0           nan              0       1e+04   0.01508   0.002574       1.44       347.6      0.1331      76.0     5e+06
   4  pressure        64.947       131.125       131.128       131.125       323.682      0.0959     0.0324     2.5e-07        0.5954          0.0410       334.9           0           nan              0       1e+04    0.0145   0.002912      1.728       558.9      0.2062      76.5     5e+06
   4  pressure         64.68       132.026       132.029       132.026       326.581      0.0961     0.0325     2.5e-07        0.5689          0.0410       334.7           0           nan              0       1e+04   0.01457   0.002911      1.728       928.3      0.8247      76.1     5e+06
   5  pressure        63.896       132.019       132.022       132.019       326.332      0.0956     0.0323     2.5e-07        0.5845          0.0410       333.9           0           nan              0       1e+04   0.01425   0.003365      2.074       815.1       1.219      73.9     5e+06
   5  pressure        64.456        130.59       130.594        130.59       326.249      0.0972     0.0329     2.5e-07        0.5609          0.0410       334.5           0           nan              0       1e+04   0.01534   0.003763      2.074       176.5      0.6212      76.8     5e+06
   6  pressure        64.417       130.675       130.679       130.675       326.258      0.0971     0.0328     2.5e-07        0.5611          0.0410       334.4           0           nan              0       1e+04   0.01508   0.004377      2.488         116      0.1151      77.3     5e+06
   6  pressure        64.448       130.573       130.577       130.573       326.322      0.0972     0.0329     2.5e-07        0.5606          0.0410       334.4           0           nan              0       1e+04   0.01529   0.004483      2.488       138.6     0.08268      74.8     5e+06
   6  pressure        64.428       130.579       130.583       130.579       326.283      0.0972     0.0329     2.5e-07        0.5606          0.0410       334.4           0           nan              0       1e+04   0.01515   0.004417      2.488       123.6     0.05457      77.1     5e+06
   7  pressure        64.388       130.305        130.31       130.305       326.333      0.0972     0.0329     2.5e-07        0.5581          0.0410       334.4           0           nan              0       1e+04   0.01496   0.005189      2.986       122.3     0.09135      76.6     5e+06
