# x_mm  y_mm  z_mm  dk_x_radmm  dk_y_radmm  dk_z_radmm
-0.5000 -0.5000 -0.5000 -3.83144 -4 -4
-0.5000 -0.5000 1.5000 -3.07221 -1.42853 -2.22758
-0.5000 -0.5000 3.5000 1.58297 4 1.25802
-0.5000 -0.5000 5.5000 2.4 1.74767 -3.67024
-0.5000 -0.5000 7.5000 -0.8 0.327194 -4
-0.5000 -0.5000 9.5000 -0.794335 -2.37216 -4
-0.5000 -0.5000 11.5000 -0.882393 0.327194 -2.93242
-0.5000 1.5000 -0.5000 -1.85822 -3.73229 0.274077
-0.5000 1.5000 1.5000 -4 -1.42853 -4
-0.5000 1.5000 3.5000 -0.203418 -4 1.54557
-0.5000 1.5000 5.5000 0.0620701 4 -0.8
-0.5000 1.5000 7.5000 -0.794335 -1.32311 -4
-0.5000 1.5000 9.5000 -0.794335 -1.40285 -4
-0.5000 1.5000 11.5000 -0.794335 -1.40285 -4
-0.5000 3.5000 -0.5000 1.07193 4 4
-0.5000 3.5000 1.5000 3.10269 3.44064 1.98463
-0.5000 3.5000 3.5000 0.894437 -0.8 4
-0.5000 3.5000 5.5000 3.10269 1.32311 1.78286
-0.5000 3.5000 7.5000 -2.4 -0.871045 3.48769
-0.5000 3.5000 9.5000 -1.28999 -1.40285 -4
-0.5000 3.5000 11.5000 0.794335 -0.0379674 4
1.5000 -0.5000 -0.5000 1.51064 -4 -3.03386
1.5000 -0.5000 1.5000 2.6664 -1.78985 -3.5457
1.5000 -0.5000 3.5000 -1.17412 -2.4 -3.1449
1.5000 -0.5000 5.5000 -2.2755 -0.8 -0.391283
1.5000 -0.5000 7.5000 -4 -1.01401 -0.171198
1.5000 -0.5000 9.5000 -2.12171 2.37216 4
1.5000 -0.5000 11.5000 0.742281 2.94653 4
1.5000 1.5000 -0.5000 2.19405 -0.240787 -0.887159
1.5000 1.5000 1.5000 -2.25047 -2.64079 -2.39123
1.5000 1.5000 3.5000 0.232165 -0.460967 -2.74056
1.5000 1.5000 5.5000 -2.84984 0.380224 -4
1.5000 1.5000 7.5000 -0.761513 1.40285 4
1.5000 1.5000 9.5000 0.794335 2.16197 4
1.5000 1.5000 11.5000 0.794335 1.40285 4
1.5000 3.5000 -0.5000 -3.78044 -4 -2.91453
1.5000 3.5000 1.5000 0.614952 -2.76302 -4
1.5000 3.5000 3.5000 4 1.44054 4
1.5000 3.5000 5.5000 2.70519 -3.32469 -3.81529
1.5000 3.5000 7.5000 0.794335 2.37216 4
1.5000 3.5000 9.5000 0.794335 0.145277 2.93242
1.5000 3.5000 11.5000 0.794335 1.40285 4
3.5000 -0.5000 -0.5000 -2.51883 1.40754 0.099098
3.5000 -0.5000 1.5000 -4 -0.900364 1.85375
3.5000 -0.5000 3.5000 -2.15779 -2.48239 -1.43462
3.5000 -0.5000 5.5000 -0.8 -1.40285 -2.93242
3.5000 -0.5000 7.5000 2.79973 -0.8 4
3.5000 -0.5000 9.5000 0.8 -0.8 4
3.5000 -0.5000 11.5000 -0.121126 1.39943 4
3.5000 1.5000 -0.5000 -0.19849 -0.460967 0.612927
3.5000 1.5000 1.5000 -2.3823 -1.73428 -3.30465
3.5000 1.5000 3.5000 -1.17435 0.905589 -2.31761
3.5000 1.5000 5.5000 -3.67479 2.05892 -4
3.5000 1.5000 7.5000 -2.4 1.99891 -3.37535
3.5000 1.5000 9.5000 0.121126 -2.37216 -4
3.5000 1.5000 11.5000 -0.794335 -2.37216 -4
3.5000 3.5000 -0.5000 -0.8 -2.21628 0.444462
3.5000 3.5000 1.5000 -1.28999 0.448063 -4
3.5000 3.5000 3.5000 -2.48239 1.61065 -0.842354
3.5000 3.5000 5.5000 -4 1.98669 -4
3.5000 3.5000 7.5000 -2.51262 4 4
3.5000 3.5000 9.5000 -1.43472 -1.32311 -4
3.5000 3.5000 11.5000 -0.794335 -1.39943 -4
5.5000 -0.5000 -0.5000 -2.28533 -1.05748 -4
5.5000 -0.5000 1.5000 -0.8 -2.02103 0.699697
5.5000 -0.5000 3.5000 2.4 4 -2.91745
5.5000 -0.5000 5.5000 -1.19546 2.52228 -3.57918
5.5000 -0.5000 7.5000 1.28999 -1.10196 2.93242
5.5000 -0.5000 9.5000 1.28999 -3.14723 2.93242
5.5000 -0.5000 11.5000 3.83958 -1.10196 2.93242
5.5000 1.5000 -0.5000 0.8 -1.45233 -4
5.5000 1.5000 1.5000 0.634451 1.74767 -2.74002
5.5000 1.5000 3.5000 0.309661 2.28933 -4
5.5000 1.5000 5.5000 0.8 -1.03332 -4
5.5000 1.5000 7.5000 0.8 2.85275 -2.91745
5.5000 1.5000 9.5000 -0.8 1.10196 0.514529
5.5000 1.5000 11.5000 -0.964785 0.957306 0.770051
5.5000 3.5000 -0.5000 1.28999 -0.0688819 4
5.5000 3.5000 1.5000 0.882393 -0.983721 2.93242
5.5000 3.5000 3.5000 1.28999 -1.36027 4
5.5000 3.5000 5.5000 1.28999 0.151919 4
5.5000 3.5000 7.5000 3.83958 -1.36027 4
5.5000 3.5000 9.5000 -1.28999 3.14723 -2.93242
5.5000 3.5000 11.5000 0.153326 2.37216 4
