# x_mm  y_mm  z_mm  dk_x_radmm  dk_y_radmm  dk_z_radmm
-0.5000 -0.5000 -0.5000 1.45007 0.756277 3.93088
-0.5000 -0.5000 1.5000 -0.958983 4 -1.06173
-0.5000 -0.5000 3.5000 3.85876 -0.264809 -1.909
-0.5000 -0.5000 5.5000 3.51469 4 -4
-0.5000 -0.5000 7.5000 3.7552 1.20339 -2.94017
-0.5000 -0.5000 9.5000 3.6702 2.11928 -3.4418
-0.5000 -0.5000 11.5000 -2.44047 0.596873 4
-0.5000 1.5000 -0.5000 -3.16852 -3.928 -3.46361
-0.5000 1.5000 1.5000 0.170275 -4 -3.82891
-0.5000 1.5000 3.5000 -3.89645 -3.9136 -3.72086
-0.5000 1.5000 5.5000 -3.83284 -3.928 -4
-0.5000 1.5000 7.5000 -3.8583 -4 -3.51858
-0.5000 1.5000 9.5000 0.799182 -3.64376 -3.69831
-0.5000 1.5000 11.5000 -3.34965 -3.70036 -2.9147
-0.5000 3.5000 -0.5000 -3.89298 1.40899 -2.17861
-0.5000 3.5000 1.5000 1.35311 -0.659235 3.82098
-0.5000 3.5000 3.5000 -3.9424 0.34117 -1.52033
-0.5000 3.5000 5.5000 -1.09988 4 3.77277
-0.5000 3.5000 7.5000 -3.68991 -0.72833 -3.8704
-0.5000 3.5000 9.5000 2.53031 1.40622 -2.62033
-0.5000 3.5000 11.5000 -1.44909 4 3.13438
1.5000 -0.5000 -0.5000 3.928 -3.43546 -2.95338
1.5000 -0.5000 1.5000 -0.29316 -3.25038 -2.334
1.5000 -0.5000 3.5000 4 -2.45736 -1.67354
1.5000 -0.5000 5.5000 2.3666 -3.9136 -2.16856
1.5000 -0.5000 7.5000 3.29788 -2.88446 -2.78543
1.5000 -0.5000 9.5000 2.81587 -4 -2.05382
1.5000 -0.5000 11.5000 3.65129 -2.40779 3.9303
1.5000 1.5000 -0.5000 3.9424 -3.63067 -4
1.5000 1.5000 1.5000 -0.847802 -4 -3.856
1.5000 1.5000 3.5000 -3.74329 -4 -3.8416
1.5000 1.5000 5.5000 -3.9136 -4 -3.856
1.5000 1.5000 7.5000 -3.9879 -4 -4
1.5000 1.5000 9.5000 -2.94305 -3.95772 -3.98802
1.5000 1.5000 11.5000 1.60896 -3.928 -2.10518
1.5000 3.5000 -0.5000 3.58024 -3.63213 -4
1.5000 3.5000 1.5000 3.26636 -3.18136 -3.2919
1.5000 3.5000 3.5000 -1.36626 -3.90013 -1.1516
1.5000 3.5000 5.5000 -2.41814 -3.8151 3.74182
1.5000 3.5000 7.5000 -2.90582 -3.928 1.80304
1.5000 3.5000 9.5000 -1.63823 -3.91291 -2.71986
1.5000 3.5000 11.5000 1.68683 2.65401 3.42591
3.5000 -0.5000 -0.5000 -3.91105 0.217768 -3.34664
3.5000 -0.5000 1.5000 -2.89515 -1.88781 -3.30677
3.5000 -0.5000 3.5000 -3.44753 1.87126 -3.61731
3.5000 -0.5000 5.5000 -3.66988 2.17419 -3.96865
3.5000 -0.5000 7.5000 -3.66358 0.24021 -3.69539
3.5000 -0.5000 9.5000 -2.24268 -4 -3.11396
3.5000 -0.5000 11.5000 -3.43323 4 -3.03327
3.5000 1.5000 -0.5000 -3.928 -3.8128 -3.84607
3.5000 1.5000 1.5000 -2.7991 -3.856 -3.64334
3.5000 1.5000 3.5000 -3.63109 -4 -4
3.5000 1.5000 5.5000 -4 -4 -4
3.5000 1.5000 7.5000 -3.9424 -3.9689 -3.8704
3.5000 1.5000 9.5000 -3.65567 -4 -3.83989
3.5000 1.5000 11.5000 -2.71397 -2.56731 -3.6292
3.5000 3.5000 -0.5000 -1.82313 -0.117813 -3.64735
3.5000 3.5000 1.5000 -3.99871 -3.36558 -3.25462
3.5000 3.5000 3.5000 1.55472 -1.20328 -0.519191
3.5000 3.5000 5.5000 -3.56609 -3.46719 -2.95414
3.5000 3.5000 7.5000 -3.784 -3.47457 -1.77884
3.5000 3.5000 9.5000 -3.9303 -3.18959 -3.41363
3.5000 3.5000 11.5000 -1.82338 0.554034 -3.11475
5.5000 -0.5000 -0.5000 2.2498 2.69358 2.94743
5.5000 -0.5000 1.5000 -2.65409 3.928 -0.30366
5.5000 -0.5000 3.5000 0.659291 4 0.180605
5.5000 -0.5000 5.5000 -1.28141 4 -0.573581
5.5000 -0.5000 7.5000 -2.6037 4 -0.721888
5.5000 -0.5000 9.5000 -2.14306 3.141 -1.15689
5.5000 -0.5000 11.5000 3.31458 -0.298911 2.81653
5.5000 1.5000 -0.5000 -3.9113 -2.64346 -1.87297
5.5000 1.5000 1.5000 -3.37559 -3.51236 -3.63357
5.5000 1.5000 3.5000 -3.928 -4 -3.70336
5.5000 1.5000 5.5000 -3.9856 -3.75314 -3.96585
5.5000 1.5000 7.5000 -3.9113 -4 -3.89044
5.5000 1.5000 9.5000 -3.82471 -3.13596 -3.80604
5.5000 1.5000 11.5000 -1.59384 -1.21526 -2.87783
5.5000 3.5000 -0.5000 3.64795 -0.695269 2.2069
5.5000 3.5000 1.5000 1.53466 -2.82255 3.95345
5.5000 3.5000 3.5000 4 0.512864 3.49471
5.5000 3.5000 5.5000 1.17205 -0.622634 0.940639
5.5000 3.5000 7.5000 -0.968464 -1.3678 3.02027
5.5000 3.5000 9.5000 -2.54119 -2.40659 0.552149
5.5000 3.5000 11.5000 3.84621 3.9856 3.66682
