# x_mm  y_mm  z_mm  dk_x_radmm  dk_y_radmm  dk_z_radmm
-0.5000 -0.5000 -0.5000 0 3.2 -3.2
-0.5000 -0.5000 1.5000 3.2 3.2 -3.2
-0.5000 -0.5000 3.5000 -4 -3.2 0
-0.5000 -0.5000 5.5000 3.2 -3.2 0
-0.5000 -0.5000 7.5000 -3.2 -3.2 3.2
-0.5000 -0.5000 9.5000 -4 4 4
-0.5000 -0.5000 11.5000 -3.2 0 -3.2
-0.5000 1.5000 -0.5000 3.2 3.2 -4
-0.5000 1.5000 1.5000 0 -3.2 -3.2
-0.5000 1.5000 3.5000 -3.2 3.2 0
-0.5000 1.5000 5.5000 0 0 0
-0.5000 1.5000 7.5000 3.2 3.2 0
-0.5000 1.5000 9.5000 -3.2 3.2 3.2
-0.5000 1.5000 11.5000 -3.2 4 2.4
-0.5000 3.5000 -0.5000 -4 -3.2 3.2
-0.5000 3.5000 1.5000 0 0 2.4
-0.5000 3.5000 3.5000 4 -3.2 0
-0.5000 3.5000 5.5000 0 0 0
-0.5000 3.5000 7.5000 -3.2 3.2 -3.2
-0.5000 3.5000 9.5000 -3.2 3.2 0
-0.5000 3.5000 11.5000 3.2 -3.2 -3.2
1.5000 -0.5000 -0.5000 4 4 -3.2
1.5000 -0.5000 1.5000 4 3.2 -4
1.5000 -0.5000 3.5000 -3.2 -4 -4
1.5000 -0.5000 5.5000 0 0 -3.2
1.5000 -0.5000 7.5000 3.2 3.2 0
1.5000 -0.5000 9.5000 -2.4 -2.4 -2.4
1.5000 -0.5000 11.5000 4 -3.2 0
1.5000 1.5000 -0.5000 4 4 -4
1.5000 1.5000 1.5000 2.4 2.4 -3.2
1.5000 1.5000 3.5000 -4 3.2 -3.2
1.5000 1.5000 5.5000 3.2 3.2 0
1.5000 1.5000 7.5000 0 0 -2.4
1.5000 1.5000 9.5000 3.2 0 -2.4
1.5000 1.5000 11.5000 4 0 3.2
1.5000 3.5000 -0.5000 -2.4 0 3.2
1.5000 3.5000 1.5000 -3.2 -3.2 4
1.5000 3.5000 3.5000 0 0 0
1.5000 3.5000 5.5000 3.2 0 0
1.5000 3.5000 7.5000 0 0 -3.2
1.5000 3.5000 9.5000 3.2 -3.2 -3.2
1.5000 3.5000 11.5000 3.2 -4 0
3.5000 -0.5000 -0.5000 -2.4 -4 4
3.5000 -0.5000 1.5000 3.2 0 -3.2
3.5000 -0.5000 3.5000 3.2 0 0
3.5000 -0.5000 5.5000 -3.2 2.4 0
3.5000 -0.5000 7.5000 0 0 0
3.5000 -0.5000 9.5000 3.2 -4 0
3.5000 -0.5000 11.5000 3.2 -4 0
3.5000 1.5000 -0.5000 -4 -4 -3.2
3.5000 1.5000 1.5000 0 0 3.2
3.5000 1.5000 3.5000 -2.4 3.2 -2.4
3.5000 1.5000 5.5000 -2.4 0 0
3.5000 1.5000 7.5000 0 0 0
3.5000 1.5000 9.5000 -3.2 4 4
3.5000 1.5000 11.5000 -3.2 4 2.4
3.5000 3.5000 -0.5000 -2.4 -2.4 0
3.5000 3.5000 1.5000 -2.4 0 3.2
3.5000 3.5000 3.5000 -2.4 3.2 3.2
3.5000 3.5000 5.5000 0 3.2 3.2
3.5000 3.5000 7.5000 3.2 -4 -3.2
3.5000 3.5000 9.5000 -3.2 4 3.2
3.5000 3.5000 11.5000 -3.2 4 0
5.5000 -0.5000 -0.5000 3.2 -3.2 3.2
5.5000 -0.5000 1.5000 0 2.4 -3.2
5.5000 -0.5000 3.5000 2.4 3.2 2.4
5.5000 -0.5000 5.5000 0 0 0
5.5000 -0.5000 7.5000 0 -3.2 0
5.5000 -0.5000 9.5000 4 -3.2 0
5.5000 -0.5000 11.5000 4 -4 -2.4
5.5000 1.5000 -0.5000 0 0 0
5.5000 1.5000 1.5000 -3.2 0 -4
5.5000 1.5000 3.5000 0 0 3.2
5.5000 1.5000 5.5000 -2.4 0 0
5.5000 1.5000 7.5000 -3.2 -4 -4
5.5000 1.5000 9.5000 -4 4 2.4
5.5000 1.5000 11.5000 -4 4 2.4
5.5000 3.5000 -0.5000 3.2 0 -3.2
5.5000 3.5000 1.5000 -2.4 0 -4
5.5000 3.5000 3.5000 3.2 0 -2.4
5.5000 3.5000 5.5000 3.2 3.2 -2.4
5.5000 3.5000 7.5000 4 -3.2 -4
5.5000 3.5000 9.5000 -3.2 3.2 4
5.5000 3.5000 11.5000 3.2 -3.2 -4
