# x_mm  y_mm  z_mm  dk_x_radmm  dk_y_radmm  dk_z_radmm
-0.5000 -0.5000 -0.5000 -0.555014 2.14438 -2.87031
-0.5000 -0.5000 1.5000 -0.228197 0.276865 -2.53647
-0.5000 -0.5000 3.5000 2.20045 -2.80366 -0.877394
-0.5000 -0.5000 5.5000 3.91688 -1.5031 2.29195
-0.5000 -0.5000 7.5000 0.0747003 1.15245 -2.86292
-0.5000 -0.5000 9.5000 2.90084 -0.183294 -1.57625
-0.5000 -0.5000 11.5000 2.51836 -1.60468 -3.12594
-0.5000 1.5000 -0.5000 0.543083 2.19548 -3.03073
-0.5000 1.5000 1.5000 -0.871067 -0.429221 -3.70451
-0.5000 1.5000 3.5000 1.73658 -3.09431 -4
-0.5000 1.5000 5.5000 1.79015 -3.69102 -3.8704
-0.5000 1.5000 7.5000 0.571883 -0.632977 -3.928
-0.5000 1.5000 9.5000 0.834625 -0.256142 -3.87558
-0.5000 1.5000 11.5000 2.03411 -2.55695 -3.8704
-0.5000 3.5000 -0.5000 0.384619 -1.53469 3.19587
-0.5000 3.5000 1.5000 -1.72024 2.59613 3.86154
-0.5000 3.5000 3.5000 -0.606341 3.48887 3.82653
-0.5000 3.5000 5.5000 -2.36055 2.1972 1.37528
-0.5000 3.5000 7.5000 3.521 3.46993 0.956268
-0.5000 3.5000 9.5000 1.35175 -0.897491 -3.31805
-0.5000 3.5000 11.5000 -2.3777 1.19305 2.18385
1.5000 -0.5000 -0.5000 -1.30582 -1.05852 3.04573
1.5000 -0.5000 1.5000 -1.90279 -3.30116 -2.0496
1.5000 -0.5000 3.5000 -1.94752 -4 -1.02
1.5000 -0.5000 5.5000 -3.84748 -3.9136 -3.3056
1.5000 -0.5000 7.5000 -2.42934 -0.102898 -3.00333
1.5000 -0.5000 9.5000 -0.295846 1.67788 1.64786
1.5000 -0.5000 11.5000 -1.80617 -0.36727 2.2404
1.5000 1.5000 -0.5000 -2.2768 -0.950804 1.80549
1.5000 1.5000 1.5000 -2.84951 -1.72424 -3.928
1.5000 1.5000 3.5000 -3.82374 -0.223257 -4
1.5000 1.5000 5.5000 -3.52644 -4 -3.62841
1.5000 1.5000 7.5000 -0.1879 -1.08371 -3.87709
1.5000 1.5000 9.5000 -1.40699 1.07822 1.70082
1.5000 1.5000 11.5000 -2.61852 2.28945 3.68894
1.5000 3.5000 -0.5000 0.682309 1.51887 3.57211
1.5000 3.5000 1.5000 -2.74138 -1.12827 1.74695
1.5000 3.5000 3.5000 0.842718 0.262268 3.27451
1.5000 3.5000 5.5000 1.42881 -0.677815 -1.87547
1.5000 3.5000 7.5000 0.00555992 1.70492 0.897701
1.5000 3.5000 9.5000 -0.366908 0.739122 1.45909
1.5000 3.5000 11.5000 -2.11422 0.502728 3.64247
3.5000 -0.5000 -0.5000 3.48502 -1.99862 -2.91985
3.5000 -0.5000 1.5000 0.543429 1.59776 -0.755527
3.5000 -0.5000 3.5000 0.656713 3.928 -3.16715
3.5000 -0.5000 5.5000 -0.783274 0.917643 -3.04117
3.5000 -0.5000 7.5000 -2.88693 4 -2.03368
3.5000 -0.5000 9.5000 -1.79645 0.530313 1.42217
3.5000 -0.5000 11.5000 -3.07084 3.16542 3.928
3.5000 1.5000 -0.5000 2.17911 1.20084 -3.9136
3.5000 1.5000 1.5000 -1.871 1.03344 -4
3.5000 1.5000 3.5000 -2.36803 3.60201 -2.9477
3.5000 1.5000 5.5000 2.04977 -0.109697 -3.31027
3.5000 1.5000 7.5000 -1.31648 -2.14815 -3.77606
3.5000 1.5000 9.5000 2.02153 -2.44002 -1.89261
3.5000 1.5000 11.5000 3.11007 -1.00464 -2.40646
3.5000 3.5000 -0.5000 0.230449 0.978182 -3.67124
3.5000 3.5000 1.5000 1.30654 -0.161747 -2.034
3.5000 3.5000 3.5000 2.34278 0.65243 -2.60029
3.5000 3.5000 5.5000 3.28065 3.92413 -1.36157
3.5000 3.5000 7.5000 -2.34439 -3.591 1.32892
3.5000 3.5000 9.5000 1.01593 -0.865174 -1.5848
3.5000 3.5000 11.5000 1.72688 0.472192 -2.31083
5.5000 -0.5000 -0.5000 1.28478 -3.86564 0.442296
5.5000 -0.5000 1.5000 -2.63377 0.923841 2.0652
5.5000 -0.5000 3.5000 -2.29961 1.76878 2.21634
5.5000 -0.5000 5.5000 -1.99403 -2.98089 -1.32979
5.5000 -0.5000 7.5000 -2.00412 -0.706277 3.16463
5.5000 -0.5000 9.5000 0.495684 -2.74374 3.7314
5.5000 -0.5000 11.5000 -2.95665 0.883908 3.9136
5.5000 1.5000 -0.5000 -0.15898 -1.18785 -3.47566
5.5000 1.5000 1.5000 1.9379 4 -3.928
5.5000 1.5000 3.5000 -1.92002 -1.02268 0.216046
5.5000 1.5000 5.5000 2.30291 2.5419 -3.7673
5.5000 1.5000 7.5000 -2.95897 -2.27611 2.80797
5.5000 1.5000 9.5000 0.727733 1.70059 -3.90148
5.5000 1.5000 11.5000 1.78409 0.372702 -3.10495
5.5000 3.5000 -0.5000 2.76909 0.524183 3.83278
5.5000 3.5000 1.5000 0.635926 1.37113 3.9136
5.5000 3.5000 3.5000 -1.07817 1.63637 3.8007
5.5000 3.5000 5.5000 -1.30062 -0.294803 0.332664
5.5000 3.5000 7.5000 -3.05914 1.85375 3.928
5.5000 3.5000 9.5000 -1.10462 1.61594 -2.89171
5.5000 3.5000 11.5000 -3.8969 -0.00139687 3.35684
