# x_mm  y_mm  z_mm  dk_x_radmm  dk_y_radmm  dk_z_radmm
-0.5000 -0.5000 -0.5000 3.13281 -2.63935 -0.191677
-0.5000 -0.5000 6.5000 -2.6773 -1.52958 -2.43278
-0.5000 -0.5000 13.5000 -0.524985 1.26147 1.33315
-0.5000 -0.5000 20.5000 3.4 2.67157 2.87589
-0.5000 6.5000 -0.5000 2.19006 -2.67705 -1.28672
-0.5000 6.5000 6.5000 1.12084 -2.93152 -2.79923
-0.5000 6.5000 13.5000 -2.39526 -2.7694 -3.4
-0.5000 6.5000 20.5000 -2.34094 -0.0274471 -1.02232
-0.5000 13.5000 -0.5000 -2.47955 2.35698 2.3291
-0.5000 13.5000 6.5000 0.63996 0.948172 1.99892
-0.5000 13.5000 13.5000 3.4 0.467521 -2.26531
-0.5000 13.5000 20.5000 2.72627 -1.12874 -3.21387
-0.5000 20.5000 -0.5000 3.3388 1.56673 2.87379
-0.5000 20.5000 6.5000 1.55185 -2.35698 3.4
-0.5000 20.5000 13.5000 0.625997 3.00233 -1.71484
-0.5000 20.5000 20.5000 3.4 -3.06351 3.4
6.5000 -0.5000 -0.5000 -2.54291 -1.68186 -1.46588
6.5000 -0.5000 6.5000 -2.6891 -2.20463 -2.97248
6.5000 -0.5000 13.5000 -3.4 -3.12691 -3.4
6.5000 -0.5000 20.5000 -2.52335 -1.41721 -1.34115
6.5000 6.5000 -0.5000 -1.85327 -1.68841 -2.12375
6.5000 6.5000 6.5000 -2.37758 -2.90193 -2.48827
6.5000 6.5000 13.5000 -1.56828 -3.4 -3.15947
6.5000 6.5000 20.5000 -3.30208 -3.27956 -3.31187
6.5000 13.5000 -0.5000 -2.22672 1.26147 -3.4
6.5000 13.5000 6.5000 -3.20196 -2.10714 -3.4
6.5000 13.5000 13.5000 -3.4 -3.32656 -3.4
6.5000 13.5000 20.5000 -3.06237 1.80363 0.837894
6.5000 20.5000 -0.5000 1.38772 -1.69294 -2.48406
6.5000 20.5000 6.5000 -3.3388 -0.28115 -0.442316
6.5000 20.5000 13.5000 -0.353166 3.4 -3.4
6.5000 20.5000 20.5000 2.80377 -1.45847 0.0124926
13.5000 -0.5000 -0.5000 2.82361 2.58632 2.41754
13.5000 -0.5000 6.5000 -3.3388 3.06137 2.1526
13.5000 -0.5000 13.5000 -2.94144 1.38603 -2.35794
13.5000 -0.5000 20.5000 2.985 3.4 1.0884
13.5000 6.5000 -0.5000 -1.93281 2.73021 1.00383
13.5000 6.5000 6.5000 -3.3388 0.521762 -3.1836
13.5000 6.5000 13.5000 -2.75246 -1.9175 -3.1552
13.5000 6.5000 20.5000 -1.39159 -3.4 -3.09831
13.5000 13.5000 -0.5000 -2.98236 -2.88484 2.3291
13.5000 13.5000 6.5000 -3.38776 -3.04239 -1.5234
13.5000 13.5000 13.5000 -1.98137 1.00131 -0.926199
13.5000 13.5000 20.5000 -0.707544 0.28169 -1.60192
13.5000 20.5000 -0.5000 1.08576 -0.30936 3.4
13.5000 20.5000 6.5000 -1.90648 -3.10043 2.80995
13.5000 20.5000 13.5000 1.52519 3.17107 2.96674
13.5000 20.5000 20.5000 -0.83964 2.29629 -0.609895
20.5000 -0.5000 -0.5000 1.79773 1.26147 -0.0184415
20.5000 -0.5000 6.5000 -0.882081 -0.188506 2.07856
20.5000 -0.5000 13.5000 3.4 1.6634 -3.4
20.5000 -0.5000 20.5000 -3.4 3.3388 3.2776
20.5000 6.5000 -0.5000 -3.3388 -2.34613 -2.52574
20.5000 6.5000 6.5000 2.71394 -1.52958 -2.97079
20.5000 6.5000 13.5000 0.426335 -2.11622 -3.3388
20.5000 6.5000 20.5000 0.637995 2.75218 -3.14277
20.5000 13.5000 -0.5000 3.08334 3.4 2.24396
20.5000 13.5000 6.5000 3.4 2.13301 3.22657
20.5000 13.5000 13.5000 3.2776 -1.30582 -3.4
20.5000 13.5000 20.5000 -0.40352 -2.29853 -2.7612
20.5000 20.5000 -0.5000 1.83752 -2.71691 -3.4
20.5000 20.5000 6.5000 -0.0714979 -0.00352249 2.63804
20.5000 20.5000 13.5000 0.888725 -2.30803 -1.20644
20.5000 20.5000 20.5000 2.10688 1.13977 0.170058
