# x_mm  y_mm  z_mm  dk_x_radmm  dk_y_radmm  dk_z_radmm
-0.5000 -0.5000 -0.5000 -3.75237 4 0.181645
-0.5000 -0.5000 1.5000 -2.38321 -1.13719 -2.58887
-0.5000 -0.5000 3.5000 1.40958 -3.58742 -2.74995
-0.5000 -0.5000 5.5000 -4 -3.21616 -1.55559
-0.5000 -0.5000 7.5000 -2.42071 2.2634 0.178305
-0.5000 -0.5000 9.5000 -0.988986 3.78745 1.18676
-0.5000 -0.5000 11.5000 -0.705863 3.63271 3.66145
-0.5000 1.5000 -0.5000 -2.56446 0.911028 -4
-0.5000 1.5000 1.5000 -3.06468 1.50717 -3.64968
-0.5000 1.5000 3.5000 2.11932 -3.79267 -3.74494
-0.5000 1.5000 5.5000 1.97459 -3.78403 -4
-0.5000 1.5000 7.5000 0.601922 0.865593 -4
-0.5000 1.5000 9.5000 -2.4 3.78745 0.179431
-0.5000 1.5000 11.5000 1.62434 -1.05631 -2.4
-0.5000 3.5000 -0.5000 2.68373 1.7317 -1.28407
-0.5000 3.5000 1.5000 0.61654 3.46825 2.26526
-0.5000 3.5000 3.5000 2.96192 3.71158 -0.48717
-0.5000 3.5000 5.5000 0.808588 0.693602 -1.68976
-0.5000 3.5000 7.5000 -0.359072 3.22615 1.35547
-0.5000 3.5000 9.5000 -0.0477546 1.11971 -2.35007
-0.5000 3.5000 11.5000 -0.555314 -1.35986 0.29738
1.5000 -0.5000 -0.5000 -0.312629 0.840924 2.07231
1.5000 -0.5000 1.5000 -1.5963 -3.07792 -3.41861
1.5000 -0.5000 3.5000 -3.88056 -2.16427 -3.9136
1.5000 -0.5000 5.5000 -3.44381 -1.47065 -4
1.5000 -0.5000 7.5000 -3.24114 -4 -2.79482
1.5000 -0.5000 9.5000 -1.81181 0.354948 -1.12268
1.5000 -0.5000 11.5000 1.10633 -4 2.4
1.5000 1.5000 -0.5000 -0.567072 -0.0782981 -3.23838
1.5000 1.5000 1.5000 -2.43363 0.460925 -2.67837
1.5000 1.5000 3.5000 0.169427 1.26743 -3.8507
1.5000 1.5000 5.5000 0.123489 1.13057 -4
1.5000 1.5000 7.5000 3.38723 -2.54237 -3.4425
1.5000 1.5000 9.5000 -1.82918 2.08793 -1.09437
1.5000 1.5000 11.5000 -2.19098 -3.74084 2.4
1.5000 3.5000 -0.5000 1.41114 1.39343 -0.733511
1.5000 3.5000 1.5000 4 0.685205 -2.70473
1.5000 3.5000 3.5000 4 -2.75236 -1.78043
1.5000 3.5000 5.5000 0.621882 1.97002 -2.59102
1.5000 3.5000 7.5000 0.56816 0.340813 0.719799
1.5000 3.5000 9.5000 0.0639535 -3.81567 -2.4
1.5000 3.5000 11.5000 4 -3.4583 3.82599
3.5000 -0.5000 -0.5000 2.73303 3.58075 -2.55149
3.5000 -0.5000 1.5000 2.77301 3.67978 -1.64122
3.5000 -0.5000 3.5000 -0.688029 4 -0.641203
3.5000 -0.5000 5.5000 0.909016 4 -2.66102
3.5000 -0.5000 7.5000 -1.45686 3.60103 -3.20799
3.5000 -0.5000 9.5000 -2.88612 -3.67679 -2.74421
3.5000 -0.5000 11.5000 2.11504 -3.62977 4
3.5000 1.5000 -0.5000 1.77757 -2.84561 -3.44802
3.5000 1.5000 1.5000 3.84795 -1.42573 -3.92742
3.5000 1.5000 3.5000 0.522049 3.08445 -3.2886
3.5000 1.5000 5.5000 -2.46844 4 -1.49769
3.5000 1.5000 7.5000 0.406357 -1.16957 -2.90824
3.5000 1.5000 9.5000 -1.05548 0.201783 -3.278
3.5000 1.5000 11.5000 -2.45801 2.91197 -3.82599
3.5000 3.5000 -0.5000 -4 2.51893 0.404539
3.5000 3.5000 1.5000 -3.32085 1.85218 -3.77967
3.5000 3.5000 3.5000 2.24771 2.43704 0.188825
3.5000 3.5000 5.5000 -4 4 -3.87916
3.5000 3.5000 7.5000 -3.11392 -3.10765 2.77128
3.5000 3.5000 9.5000 1.30974 3.81567 -1.13917
3.5000 3.5000 11.5000 -3.10051 2.89758 -3.05164
5.5000 -0.5000 -0.5000 1.33423 3.78056 3.35512
5.5000 -0.5000 1.5000 4 2.67804 3.45642
5.5000 -0.5000 3.5000 0.445183 -4 2.12986
5.5000 -0.5000 5.5000 -3.75131 3.74084 1.97875
5.5000 -0.5000 7.5000 -2.36276 -4 1.85765
5.5000 -0.5000 9.5000 2.0879 -4 -0.8
5.5000 -0.5000 11.5000 -1.00146 -4 2.4
5.5000 1.5000 -0.5000 -3.34979 -3.53802 -3.61108
5.5000 1.5000 1.5000 -2.48195 -0.695242 -2.68929
5.5000 1.5000 3.5000 -0.28704 -0.35175 -2.39923
5.5000 1.5000 5.5000 -1.60106 4 -4
5.5000 1.5000 7.5000 2.42454 -4 2.29451
5.5000 1.5000 9.5000 -1.85288 4 0.635215
5.5000 1.5000 11.5000 1.88098 4 -3.15305
5.5000 3.5000 -0.5000 2.9626 -3.84761 0.779635
5.5000 3.5000 1.5000 4 -3.74084 1.08147
5.5000 3.5000 3.5000 0.326328 -3.09331 3.50253
5.5000 3.5000 5.5000 -1.47761 -3.48589 -1.75999
5.5000 3.5000 7.5000 -0.434005 -0.825686 3.76872
5.5000 3.5000 9.5000 -1.82345 3.68901 -1.08147
5.5000 3.5000 11.5000 -1.76097 -3.72293 -0.8
