# x_mm  y_mm  z_mm  dx_mm  dy_mm  dz_mm
-0.8000 -0.8000 -0.8000 0 0 0
-0.8000 -0.8000 1.2000 0 0 0
-0.8000 -0.8000 3.2000 0 0 0
-0.8000 -0.8000 5.2000 0 0 0
-0.8000 -0.8000 7.2000 0 0 0
-0.8000 -0.8000 9.2000 0 0 0
-0.8000 -0.8000 11.2000 0 0 0
-0.8000 1.2000 -0.8000 0 0 0
-0.8000 1.2000 1.2000 0 0 0
-0.8000 1.2000 3.2000 0 0 0
-0.8000 1.2000 5.2000 0 0 0
-0.8000 1.2000 7.2000 0 0 0
-0.8000 1.2000 9.2000 0 0 0
-0.8000 1.2000 11.2000 0 0 0
-0.8000 3.2000 -0.8000 0 0 0
-0.8000 3.2000 1.2000 0 0 0
-0.8000 3.2000 3.2000 0 0 0
-0.8000 3.2000 5.2000 0 0 0
-0.8000 3.2000 7.2000 0 0 0
-0.8000 3.2000 9.2000 0 0 0
-0.8000 3.2000 11.2000 0 0 0
-0.8000 5.2000 -0.8000 0 0 0
-0.8000 5.2000 1.2000 0 0 0
-0.8000 5.2000 3.2000 0 0 0
-0.8000 5.2000 5.2000 0 0 0
-0.8000 5.2000 7.2000 0 0 0
-0.8000 5.2000 9.2000 0 0 0
-0.8000 5.2000 11.2000 0 0 0
1.2000 -0.8000 -0.8000 0 0 0
1.2000 -0.8000 1.2000 0 0 0
1.2000 -0.8000 3.2000 0 0 0
1.2000 -0.8000 5.2000 0 0 0
1.2000 -0.8000 7.2000 0 0 0
1.2000 -0.8000 9.2000 0 0 0
1.2000 -0.8000 11.2000 0 0 0
1.2000 1.2000 -0.8000 0 0 0
1.2000 1.2000 1.2000 0 0 0
1.2000 1.2000 3.2000 0 0 0
1.2000 1.2000 5.2000 0 0 0
1.2000 1.2000 7.2000 0 0 0
1.2000 1.2000 9.2000 0 0 0
1.2000 1.2000 11.2000 0 0 0
1.2000 3.2000 -0.8000 0 0 0
1.2000 3.2000 1.2000 0 0 0
1.2000 3.2000 3.2000 0 0 0
1.2000 3.2000 5.2000 0 0 0
1.2000 3.2000 7.2000 0 0 0
1.2000 3.2000 9.2000 0 0 0
1.2000 3.2000 11.2000 0 0 0
1.2000 5.2000 -0.8000 0 0 0
1.2000 5.2000 1.2000 0 0 0
1.2000 5.2000 3.2000 0 0 0
1.2000 5.2000 5.2000 0 0 0
1.2000 5.2000 7.2000 0 0 0
1.2000 5.2000 9.2000 0 0 0
1.2000 5.2000 11.2000 0 0 0
3.2000 -0.8000 -0.8000 0 0 0
3.2000 -0.8000 1.2000 0 0 0
3.2000 -0.8000 3.2000 0 0 0
3.2000 -0.8000 5.2000 0 0 0
3.2000 -0.8000 7.2000 0 0 0
3.2000 -0.8000 9.2000 0 0 0
3.2000 -0.8000 11.2000 0 0 0
3.2000 1.2000 -0.8000 0 0 0
3.2000 1.2000 1.2000 0 0 0
3.2000 1.2000 3.2000 0 0 0
3.2000 1.2000 5.2000 0 0 0
3.2000 1.2000 7.2000 0 0 0
3.2000 1.2000 9.2000 0 0 0
3.2000 1.2000 11.2000 0 0 0
3.2000 3.2000 -0.8000 0 0 0
3.2000 3.2000 1.2000 0 0 0
3.2000 3.2000 3.2000 0 0 0
3.2000 3.2000 5.2000 0 0 0
3.2000 3.2000 7.2000 0 0 0
3.2000 3.2000 9.2000 0 0 0
3.2000 3.2000 11.2000 0 0 0
3.2000 5.2000 -0.8000 0 0 0
3.2000 5.2000 1.2000 0 0 0
3.2000 5.2000 3.2000 0 0 0
3.2000 5.2000 5.2000 0 0 0
3.2000 5.2000 7.2000 0 0 0
3.2000 5.2000 9.2000 0 0 0
3.2000 5.2000 11.2000 0 0 0
5.2000 -0.8000 -0.8000 0 0 0
5.2000 -0.8000 1.2000 0 0 0
5.2000 -0.8000 3.2000 0 0 0
5.2000 -0.8000 5.2000 0 0 0
5.2000 -0.8000 7.2000 0 0 0
5.2000 -0.8000 9.2000 0 0 0
5.2000 -0.8000 11.2000 0 0 0
5.2000 1.2000 -0.8000 0 0 0
5.2000 1.2000 1.2000 0 0 0
5.2000 1.2000 3.2000 0 0 0
5.2000 1.2000 5.2000 0 0 0
5.2000 1.2000 7.2000 0 0 0
5.2000 1.2000 9.2000 0 0 0
5.2000 1.2000 11.2000 0 0 0
5.2000 3.2000 -0.8000 0 0 0
5.2000 3.2000 1.2000 0 0 0
5.2000 3.2000 3.2000 0 0 0
5.2000 3.2000 5.2000 0 0 0
5.2000 3.2000 7.2000 0 0 0
5.2000 3.2000 9.2000 0 0 0
5.2000 3.2000 11.2000 0 0 0
5.2000 5.2000 -0.8000 0 0 0
5.2000 5.2000 1.2000 0 0 0
5.2000 5.2000 3.2000 0 0 0
5.2000 5.2000 5.2000 0 0 0
5.2000 5.2000 7.2000 0 0 0
5.2000 5.2000 9.2000 0 0 0
5.2000 5.2000 11.2000 0 0 0
