# x_mm  y_mm  z_mm  dx_mm  dy_mm  dz_mm
-0.8000 -0.8000 -0.8000 -0.0173392 0.00378749 -0.00935928
-0.8000 -0.8000 1.2000 0.0236934 0.00465207 0.00844035
-0.8000 -0.8000 3.2000 -0.00138147 -0.00725322 -0.00282643
-0.8000 -0.8000 5.2000 0.00291969 -0.00902726 0.000621933
-0.8000 -0.8000 7.2000 0.00238802 -0.00692217 0.00248105
-0.8000 -0.8000 9.2000 0.000396924 -0.00609595 0.0086262
-0.8000 -0.8000 11.2000 0.00320961 0.0104034 -0.00274563
-0.8000 1.2000 -0.8000 0.0111057 0.00890787 0.0215344
-0.8000 1.2000 1.2000 0.0125234 -0.0146876 0.0086397
-0.8000 1.2000 3.2000 -0.00349951 -0.0286003 0.00076927
-0.8000 1.2000 5.2000 0.00423902 -0.0291544 0.00564695
-0.8000 1.2000 7.2000 0.00557654 -0.0266943 0.00850489
-0.8000 1.2000 9.2000 0.00200645 -0.0207784 0.0125361
-0.8000 1.2000 11.2000 0.0038484 -0.0161513 0.0137576
-0.8000 3.2000 -0.8000 -0.00454148 0.00299328 0.00086073
-0.8000 3.2000 1.2000 0.00233532 -0.00258498 -0.00228259
-0.8000 3.2000 3.2000 -0.00569411 -0.00457876 -0.00535895
-0.8000 3.2000 5.2000 8.21537e-05 -0.00172695 -0.00382574
-0.8000 3.2000 7.2000 0.000376769 -0.00108264 -0.0028183
-0.8000 3.2000 9.2000 -0.00258475 0.000300576 -0.00263659
-0.8000 3.2000 11.2000 -0.000849647 0.000617646 -0.000938883
-0.8000 5.2000 -0.8000 -0.00120016 -0.00485948 0.00536704
-0.8000 5.2000 1.2000 0.00992932 0.00351648 0.00375754
-0.8000 5.2000 3.2000 0.00190137 0.00153201 0.00268047
-0.8000 5.2000 5.2000 0.0032893 0.00205349 0.00236399
-0.8000 5.2000 7.2000 0.00243742 0.000955141 0.00193524
-0.8000 5.2000 9.2000 -0.000497892 0.000851639 4.58011e-05
