iter  J_meanT      DissPower    solid_frac  grad_norm  elapsed_s
   1       197.278      0.777314      0.0572       14.23     156.3
   2       214.098      0.770187      0.0586       29.28     147.2
   3       195.487       0.77921      0.0581       31.29     136.1
   4       198.222      0.777561      0.0582       41.48     135.9
   5       193.503      0.780975      0.0581       26.18     139.1
   6       217.101        0.7795      0.0591       38.56     132.5
   7       196.511      0.780243      0.0585       43.42     129.6
   8       198.705      0.782614      0.0581       50.75     127.3
   9       194.668      0.780514      0.0581       53.04     132.9
  10       193.513      0.780972      0.0581       26.42     136.5
  11       193.503      0.780975      0.0581       26.56     132.8
  12       193.503      0.780975      0.0581       27.08     132.5
  13       193.504      0.780975      0.0581       26.91     131.4
  14       193.503      0.780975      0.0581       26.18     128.1
  15       193.503      0.780975      0.0581       26.63     125.4
  16       193.503      0.780975      0.0581       26.45     130.6
  17       193.503      0.780975      0.0581       26.31     129.3
  18       193.503      0.780975      0.0581       26.91     130.7
  19       193.503      0.780975      0.0581       26.86     127.9
  20       193.503      0.780975      0.0581       26.18     127.2
  21       193.503      0.780975      0.0581       26.18     158.1
  22       193.503      0.780975      0.0581       26.18     151.0
  23       193.503      0.780975      0.0581       26.18     127.1
  24       193.503      0.780975      0.0581       26.18     126.3
  25       193.503      0.780975      0.0581       26.18     121.1
  26       199.949      0.780797      0.0591        24.2     129.6
  27       209.814      0.775724      0.0584       26.61     130.9
  28       199.364      0.779535      0.0581       54.51     131.0
  29       196.223      0.779945      0.0581       34.48     131.7
  30       193.626      0.780962      0.0581       26.75     133.4
  31       193.505      0.780974      0.0581       27.07     132.0
  32       193.503      0.780975      0.0581       26.42     124.5
  33       193.503      0.780975      0.0581       26.58     126.2
  34       193.503      0.780975      0.0581       27.29     119.5
  35       193.503      0.780975      0.0581       26.75     127.3
  36       193.503      0.780975      0.0581       26.37     124.6
  37       193.504      0.780975      0.0581       26.51     131.6
  38       193.503      0.780975      0.0581       26.18     121.1
  39       193.503      0.780975      0.0581       26.18     122.8
  40       193.503      0.780975      0.0581       26.18     128.3
  41       193.503      0.780975      0.0581       26.18     125.9
  42       193.503      0.780975      0.0581       26.18     128.7
  43       193.503      0.780975      0.0581       26.18     131.6
  44       193.503      0.780975      0.0581       26.18     156.1
  45       193.503      0.780975      0.0581       26.18     143.1
