# x_mm  y_mm  z_mm  dk_x_radmm  dk_y_radmm  dk_z_radmm
-0.5000 -0.5000 -0.5000 -0.0263979 -0.0103348 0.0239828
-0.5000 -0.5000 1.5000 0.0984408 0.00837846 0.00443843
-0.5000 -0.5000 3.5000 -0.0200487 -0.00417608 -0.0222923
-0.5000 -0.5000 5.5000 -0.0201869 -0.0025763 -0.047264
-0.5000 -0.5000 7.5000 -0.015814 -0.00150271 -0.0798347
-0.5000 -0.5000 9.5000 0.0223841 0.000452416 -0.0625543
-0.5000 -0.5000 11.5000 0.0160085 0.00138762 0.0239588
-0.5000 1.5000 -0.5000 0.0867983 0.00291727 -0.00721873
-0.5000 1.5000 1.5000 0.0577473 0.0039572 -0.0108257
-0.5000 1.5000 3.5000 -0.0404605 -0.00816371 -0.0371416
-0.5000 1.5000 5.5000 -0.052164 -0.00503588 -0.0615604
-0.5000 1.5000 7.5000 -0.0519451 -0.0011244 -0.106544
-0.5000 1.5000 9.5000 -0.0159362 0.00174908 -0.0819418
-0.5000 1.5000 11.5000 -0.00577113 5.89723e-06 -0.0411191
-0.5000 3.5000 -0.5000 -0.00301504 -0.00315523 -0.0390406
-0.5000 3.5000 1.5000 0.0334815 0.00569432 0.00598028
-0.5000 3.5000 3.5000 -0.00877094 -0.00173463 -0.00740181
-0.5000 3.5000 5.5000 -0.00472759 2.14866e-05 -0.00129824
-0.5000 3.5000 7.5000 -0.00733892 0.00106855 -0.0154858
-0.5000 3.5000 9.5000 0.00499646 0.0011374 0.00193312
-0.5000 3.5000 11.5000 0.00183498 0.00171413 -0.0557914
1.5000 -0.5000 -0.5000 -0.783848 -0.0325263 -0.0315408
1.5000 -0.5000 1.5000 -0.110061 0.00647319 0.0748527
1.5000 -0.5000 3.5000 0.0935587 0.0123735 0.283142
1.5000 -0.5000 5.5000 0.2682 0.0237013 0.441531
1.5000 -0.5000 7.5000 0.194714 0.00765541 0.623478
1.5000 -0.5000 9.5000 0.00716503 -0.00121329 0.525192
1.5000 -0.5000 11.5000 -0.079223 -0.0019026 0.12526
1.5000 1.5000 -0.5000 -0.332731 -0.0208587 -0.0175632
1.5000 1.5000 1.5000 -0.0634779 0.00726652 0.0336124
1.5000 1.5000 3.5000 0.0871487 0.0212849 0.0496011
1.5000 1.5000 5.5000 0.197017 0.0348894 0.105849
1.5000 1.5000 7.5000 0.130069 0.00506126 0.20696
1.5000 1.5000 9.5000 0.0482901 -0.0101406 0.258612
1.5000 1.5000 11.5000 -0.0261988 -0.00410652 0.0438392
1.5000 3.5000 -0.5000 -0.0665634 -0.0111101 -0.00210067
1.5000 3.5000 1.5000 0.0145488 0.00520032 0.0210932
1.5000 3.5000 3.5000 0.0115314 0.00220311 0.0192672
1.5000 3.5000 5.5000 0.0311924 0.00659621 0.0163616
1.5000 3.5000 7.5000 0.0150334 0.00178272 0.0235441
1.5000 3.5000 9.5000 0.0188935 -0.00172501 0.0715792
1.5000 3.5000 11.5000 -0.0136129 -0.000276443 -0.0124938
3.5000 -0.5000 -0.5000 0.970574 0.0429847 0.0496069
3.5000 -0.5000 1.5000 0.382421 0.085985 0.180261
3.5000 -0.5000 3.5000 -0.333255 -0.101273 -0.970574
3.5000 -0.5000 5.5000 -0.694753 -0.0627027 -0.970574
3.5000 -0.5000 7.5000 -0.945124 -0.0427768 -0.970574
3.5000 -0.5000 9.5000 0.317156 0.0133957 -0.970574
3.5000 -0.5000 11.5000 0.255404 0.00211981 -0.0569485
3.5000 1.5000 -0.5000 0.970574 0.176192 0.0120429
3.5000 1.5000 1.5000 0.534891 0.0519129 0.0857683
3.5000 1.5000 3.5000 -0.775288 -0.169321 -0.837659
3.5000 1.5000 5.5000 -0.970574 -0.0243264 -0.749088
3.5000 1.5000 7.5000 -0.970574 0.023008 -0.970574
3.5000 1.5000 9.5000 -0.458597 0.110773 -0.970574
3.5000 1.5000 11.5000 0.0303134 0.0117746 -0.212597
3.5000 3.5000 -0.5000 -0.264988 -0.0241473 -0.0436847
3.5000 3.5000 1.5000 0.0100303 0.00761608 -0.00331071
3.5000 3.5000 3.5000 0.0213384 0.00362379 0.0104456
3.5000 3.5000 5.5000 0.104624 0.00891359 0.0088417
3.5000 3.5000 7.5000 0.082602 -0.0059211 0.125984
3.5000 3.5000 9.5000 0.0299415 -0.00908975 0.212037
3.5000 3.5000 11.5000 -0.0386222 -0.00353912 -0.049627
5.5000 -0.5000 -0.5000 0.970574 0.0477108 0.269843
5.5000 -0.5000 1.5000 0.61702 0.102739 0.186334
5.5000 -0.5000 3.5000 -0.970574 -0.146571 -0.780597
5.5000 -0.5000 5.5000 -0.970574 -0.179916 -0.970574
