# x_mm  y_mm  z_mm  dk_x_radmm  dk_y_radmm  dk_z_radmm
-0.5000 -0.5000 -0.5000 0.00621779 -0.00959108 0.00026196
-0.5000 -0.5000 1.5000 0.0160455 0.00682994 0.00754597
-0.5000 -0.5000 3.5000 -0.00788406 -0.00184293 -0.000666246
-0.5000 -0.5000 5.5000 0.00154954 0.000136765 0.00186289
-0.5000 -0.5000 7.5000 0.00108233 0.000206884 -0.00397322
-0.5000 -0.5000 9.5000 -0.0094442 0.00197153 -0.0404712
-0.5000 -0.5000 11.5000 0.0134426 -0.000264119 0.0235627
-0.5000 1.5000 -0.5000 0.028991 0.00381069 0.0020785
-0.5000 1.5000 1.5000 0.0101356 0.0062822 0.00377805
-0.5000 1.5000 3.5000 -0.0132041 -0.000995681 -0.00939977
-0.5000 1.5000 5.5000 -0.00710254 0.000317147 -0.00629622
-0.5000 1.5000 7.5000 -0.0108065 0.00178317 -0.0191341
-0.5000 1.5000 9.5000 -0.0208704 0.00274262 -0.0523559
-0.5000 1.5000 11.5000 -0.0110887 0.00166474 -0.029712
-0.5000 3.5000 -0.5000 0.00163881 0.000994546 -0.0166499
-0.5000 3.5000 1.5000 0.0130047 0.00498479 0.00337891
-0.5000 3.5000 3.5000 -0.000225132 7.37613e-05 -0.00317346
-0.5000 3.5000 5.5000 0.0021443 0.000574399 -0.000675264
-0.5000 3.5000 7.5000 0.000237835 0.00135627 -0.00841107
-0.5000 3.5000 9.5000 -0.00503119 0.000820989 -0.0146333
-0.5000 3.5000 11.5000 0.00611094 0.00416998 -0.0219268
1.5000 -0.5000 -0.5000 -0.127911 -0.0294084 -0.0303172
1.5000 -0.5000 1.5000 0.0630598 -0.00223777 0.00681526
1.5000 -0.5000 3.5000 0.0678713 -0.00722288 0.0138673
1.5000 -0.5000 5.5000 0.0195617 0.00117627 -0.00767318
1.5000 -0.5000 7.5000 0.0530967 -0.00893841 0.106899
1.5000 -0.5000 9.5000 0.0674538 -0.0147948 0.252591
1.5000 -0.5000 11.5000 0.0373303 -0.00914372 0.14492
1.5000 1.5000 -0.5000 -0.15452 -0.0237132 -0.0088804
1.5000 1.5000 1.5000 -0.0537746 0.0124014 0.0294232
1.5000 1.5000 3.5000 0.0185982 -0.000736774 0.010433
1.5000 1.5000 5.5000 0.00830032 -0.000952942 -0.017113
1.5000 1.5000 7.5000 0.0212997 -0.00546355 0.0908379
1.5000 1.5000 9.5000 0.0601609 -0.0125946 0.218553
1.5000 1.5000 11.5000 0.0203019 -0.00611932 0.0723968
1.5000 3.5000 -0.5000 -0.0200032 -0.0120609 -0.00347671
1.5000 3.5000 1.5000 0.0112787 0.00314076 0.00566901
1.5000 3.5000 3.5000 -0.00194993 0.00237622 -0.00510733
1.5000 3.5000 5.5000 -5.69794e-05 0.00184723 -0.00648507
1.5000 3.5000 7.5000 0.00556229 0.000837649 0.00781251
1.5000 3.5000 9.5000 0.0100009 -0.00285363 0.0472878
1.5000 3.5000 11.5000 0.0022965 -0.000863492 0.00318746
3.5000 -0.5000 -0.5000 -0.0732176 0.0405598 0.0253954
3.5000 -0.5000 1.5000 -1.1868 0.0767616 0.0892543
3.5000 -0.5000 3.5000 0.0720669 -0.0189775 0.00609231
3.5000 -0.5000 5.5000 -0.046 0.00672305 0.0129279
3.5000 -0.5000 7.5000 -0.411501 0.0151411 0.172804
3.5000 -0.5000 9.5000 -0.401122 0.0835729 -1.45325
3.5000 -0.5000 11.5000 -0.014431 0.0125453 -0.196584
3.5000 1.5000 -0.5000 0.691134 0.189824 -0.00152658
3.5000 1.5000 1.5000 -0.275858 0.0852535 0.074632
3.5000 1.5000 3.5000 -0.0400186 -0.0210788 0.05053
3.5000 1.5000 5.5000 -0.0341923 0.000319438 0.169573
3.5000 1.5000 7.5000 -0.170782 0.0566718 -0.176193
3.5000 1.5000 9.5000 -0.563236 0.144897 -2
3.5000 1.5000 11.5000 -0.142123 0.0243016 -0.324764
3.5000 3.5000 -0.5000 -0.0458349 -0.0217153 -0.00797629
3.5000 3.5000 1.5000 0.0829483 0.00848262 0.00637818
3.5000 3.5000 3.5000 0.0152431 0.000691305 -0.0217371
3.5000 3.5000 5.5000 0.00642997 0.00127095 -0.0245444
3.5000 3.5000 7.5000 0.0203773 -0.00176135 0.0557427
3.5000 3.5000 9.5000 0.0460092 -0.0083757 0.205542
3.5000 3.5000 11.5000 0.00885353 -0.00155978 0.0263701
5.5000 -0.5000 -0.5000 0.976915 0.0125509 0.0597108
5.5000 -0.5000 1.5000 -0.0763594 0.0722873 0.056882
5.5000 -0.5000 3.5000 -0.182933 -0.033724 -0.0119193
5.5000 -0.5000 5.5000 0.00462459 -0.00801041 0.147644
5.5000 -0.5000 7.5000 -0.166076 -0.00933403 0.089901
5.5000 -0.5000 9.5000 -0.184287 0.0241799 -1.16947
5.5000 -0.5000 11.5000 0.102533 -0.0122013 0.265814
5.5000 1.5000 -0.5000 1.83644 0.132804 0.0256886
5.5000 1.5000 1.5000 0.473883 0.0286982 0.010882
5.5000 1.5000 3.5000 -0.27773 -0.014815 -0.0190173
5.5000 1.5000 5.5000 -0.0786063 -0.00446163 0.188749
5.5000 1.5000 7.5000 -0.355868 0.0149692 0.120919
5.5000 1.5000 9.5000 -0.563612 0.0627017 -1.56596
5.5000 1.5000 11.5000 -0.0449887 0.00888362 -0.0732059
5.5000 3.5000 -0.5000 -0.426202 -0.045943 -0.0271018
5.5000 3.5000 1.5000 -0.00349505 0.00800437 0.0108774
