iter  mode    J_meanT      J_obj        J_aug        DissPower    solid_frac  solid_g    flow_m3s   deltaP_m2s2  wall_thickness  g_meanT    pen_meanT  mu_meanT  g_oh    pen_oh    mu_oh    g_th    pen_th    mu_th    grad_norm  elapsed_s
   1  pressure       39.6495       2.21157       2.66384       2.21157      0.0965     0.0391       5e-08         0.048          0.3150       39.65           0       100    -0.105          0          1    0.1051     0.4523         60       116.7     239.2
   2  pressure       38.2442       2.80981       3.43853       2.80981      0.1029     0.0417       5e-08       0.05941          0.3308       38.24           0       100   -0.1187          0          1    0.1124     0.6287         72       619.5     218.0
   3  pressure       41.0495       2.59563       3.42125       2.59563      0.1071     0.0434       5e-08        0.0559          0.3473       41.05           0       100   -0.1063          0          1    0.1171     0.8256       86.4       157.8     226.7
   4  pressure       39.6215       2.49597       3.59448       2.49597      0.1122     0.0454       5e-08       0.05378          0.3647       39.62           0       100   -0.1029          0          1    0.1228      1.099      103.7       101.7     227.6
   5  pressure       39.1954       2.46955         3.961       2.46955      0.1187     0.0481       5e-08       0.05327          0.3829        39.2           0       100   -0.1045          0          1    0.1299      1.491      124.4       213.4     233.0
   6  pressure         39.01        2.5598       4.57031        2.5598      0.1254     0.0508       5e-08        0.0551          0.4020       39.01           0       100   -0.1056          0          1    0.1371      2.011      149.3       329.7     235.3
   7  pressure       38.8673       2.64975        5.3328       2.64975      0.1319     0.0534       5e-08       0.05692          0.4221       38.87           0       100   -0.1066          0          1    0.1441      2.683      179.2       184.8     241.6
   8  pressure       38.7279       2.74641       6.31221       2.74641      0.1387     0.0562       5e-08       0.05888          0.4432       38.73           0       100   -0.1073          0          1    0.1511      3.566        215       197.8     246.2
   9  pressure       38.5945       2.85143       7.57204       2.85143      0.1457     0.0590       5e-08       0.06101          0.4654       38.59           0       100   -0.1081          0          1    0.1582      4.721        258       219.5     247.0
  10  pressure       38.4732       2.96549       9.19134       2.96549      0.1529     0.0619       5e-08       0.06332          0.4887       38.47           0       100    -0.109          0          1    0.1653      6.226      309.6       242.8     245.4
  11  pressure       38.3718       3.08918       11.2714       3.08918      0.1604     0.0649       5e-08       0.06582          0.5131       38.37           0       100     -0.11          0          1    0.1726      8.182      371.5       267.3     251.4
